iter	Logloss
0	0.4893159172
1	0.3885917416
2	0.3384305808
3	0.3114451035
4	0.295705056
5	0.2862573697
6	0.2798226604
7	0.2753261463
8	0.2725968862
9	0.2697528621
10	0.2676608921
11	0.2664314913
12	0.2655382756
13	0.2642554137
14	0.2636725041
15	0.2627928549
16	0.2624504416
17	0.262171334
18	0.2616605972
19	0.2614053071
20	0.2610839195
21	0.2608564119
22	0.2605818983
23	0.2603225013
24	0.2601090862
25	0.2599587352
26	0.2597608443
27	0.2595895583
28	0.259397706
29	0.2592681647
30	0.2591624309
31	0.2590848138
32	0.2589690093
33	0.2588758504
34	0.2587678982
35	0.2587026514
36	0.2586542929
37	0.2585732633
38	0.2585272411
39	0.2584499068
40	0.2583915627
41	0.2583171812
42	0.2582486007
43	0.2582020043
44	0.2581536489
45	0.2581024841
46	0.2580369687
47	0.2579907647
48	0.2579453176
49	0.2579190675
50	0.2578824938
51	0.2577565553
52	0.2577258024
53	0.2576894839
54	0.2576018057
55	0.2575740365
56	0.2575303446
57	0.2574854411
58	0.2574389925
59	0.2573973174
60	0.2573626903
61	0.2573257928
62	0.2573048576
63	0.2572747661
64	0.2572340853
65	0.2571964682
66	0.2571567002
67	0.2571073415
68	0.2570743319
69	0.2570310163
70	0.2569881672
71	0.2569650192
72	0.256924816
73	0.2569099095
74	0.2568630814
75	0.2568255117
76	0.2567843571
77	0.256768393
78	0.256752602
79	0.2567147065
80	0.2566800575
81	0.2566456181
82	0.2566256875
83	0.2565997637
84	0.2565755862
85	0.2565514007
86	0.2565225443
87	0.2565096471
88	0.2565044146
89	0.2564863858
90	0.2564524618
91	0.2564039177
92	0.2563725966
93	0.2563387185
94	0.25630833
95	0.2562763443
96	0.2562342959
97	0.2562164601
98	0.2561878844
99	0.2561598612
100	0.2561351609
101	0.2560966346
102	0.2560717619
103	0.2560313177
104	0.2560013445
105	0.2559584022
106	0.2559025168
107	0.255879346
108	0.2558432504
109	0.25580875
110	0.2557860079
111	0.2557465577
112	0.255714056
113	0.2556815846
114	0.2556407766
115	0.2556131915
116	0.2555872084
117	0.2555654174
118	0.2555239171
119	0.2554932432
120	0.2554551294
121	0.2554343288
122	0.2554154839
123	0.2553870118
124	0.255365132
125	0.2553302528
126	0.2552966478
127	0.2552661629
128	0.2552284229
129	0.2552016968
130	0.2551703067
131	0.2551307753
132	0.2551024981
133	0.2550587168
134	0.255024336
135	0.2550029776
136	0.2549809681
137	0.254952281
138	0.254934868
139	0.254905629
140	0.2548748905
141	0.2548533124
142	0.254829063
143	0.2548114195
144	0.2547875462
145	0.2547597474
146	0.2547406037
147	0.2547252602
148	0.2546859001
149	0.2546685821
150	0.2546204646
151	0.2545970393
152	0.254568367
153	0.2545490449
154	0.2545295918
155	0.2545121513
156	0.2544772105
157	0.254456067
158	0.2544265997
