iter	Passed	Remaining
0	220	219954
1	282	140739
2	366	121843
3	710	177011
4	854	169968
5	944	156455
6	1033	146648
7	1103	136795
8	1163	128146
9	1226	121412
10	1293	116284
11	1358	111874
12	1426	108302
13	1492	105091
14	1566	102862
15	1628	100144
16	1685	97456
17	1740	94974
18	1804	93169
19	1876	91970
20	1955	91166
21	2028	90191
22	2101	89264
23	2175	88461
24	2266	88400
25	2338	87598
26	2416	87081
27	2472	85818
28	2531	84758
29	2589	83741
30	2655	82994
31	2711	82012
32	2765	81027
33	2824	80247
34	2881	79442
35	2934	78568
36	2991	77865
37	3055	77342
38	3143	77461
39	3220	77283
40	3309	77409
41	3372	76919
42	3428	76305
43	3496	75976
44	3558	75527
45	3619	75060
46	3681	74646
47	3733	74041
48	3790	73575
49	3850	73152
50	3915	72860
51	3975	72475
52	4031	72027
53	4088	71615
54	4161	71497
55	4233	71356
56	4304	71214
57	4383	71189
58	4455	71060
59	4533	71028
60	4604	70875
61	4680	70804
62	4747	70609
63	4804	70264
64	4857	69879
65	4916	69582
66	4974	69276
67	5028	68916
68	5081	68567
69	5143	68329
70	5206	68124
71	5258	67778
72	5321	67574
73	5385	67395
74	5479	67584
75	5553	67519
76	5655	67789
77	5714	67542
78	5772	67301
79	5824	66981
80	5881	66724
81	5937	66470
82	5989	66175
83	6053	66011
84	6111	65793
85	6171	65585
86	6222	65299
87	6277	65061
88	6333	64827
89	6385	64566
90	6465	64581
91	6543	64578
92	6619	64555
93	6690	64485
94	6768	64475
95	6848	64494
96	6923	64448
97	6997	64404
98	7053	64195
99	7109	63984
100	7168	63803
101	7221	63578
102	7288	63471
103	7346	63291
104	7410	63165
105	7474	63042
106	7537	62906
107	7592	62710
108	7650	62537
109	7743	62648
110	7819	62627
111	7902	62654
112	7974	62596
113	8032	62428
114	8086	62234
115	8151	62117
116	8205	61930
117	8265	61784
118	8322	61617
119	8376	61427
120	8443	61339
121	8499	61166
122	8559	61032
123	8611	60832
124	8668	60679
125	8727	60538
126	8799	60490
127	8873	60447
128	8958	60488
129	9024	60395
130	9098	60354
131	9167	60284
132	9239	60230
133	9310	60172
134	9371	60047
135	9429	59904
136	9480	59723
137	9540	59595
138	9609	59525
139	9668	59391
140	9725	59246
141	9781	59104
142	9837	58958
143	9892	58807
144	9949	58664
145	10032	58682
146	10111	58676
147	10202	58736
148	10279	58712
149	10334	58564
150	10396	58455
151	10453	58317
152	10507	58168
153	10561	58019
154	10626	57931
155	10677	57770
156	10734	57640
157	10796	57534
158	10854	57410
